city,date,confirmed,deaths
,2021-05-18,80590,1625
,2021-05-18,185615,4523
,2021-05-18,379830,12879
,2021-05-18,109479,1628
,2021-05-18,961157,20054
,2021-05-18,749955,19346
,2021-05-18,394223,8366
,2021-05-18,462618,10328
,2021-05-18,585587,16280
,2021-05-18,280064,7758
,2021-05-18,1472801,37617
Acorizal,2021-05-18,466,18
Água Boa,2021-05-18,2238,53
Alta Floresta,2021-05-18,7417,110
Alto Araguaia,2021-05-18,1050,22
Alto Boa Vista,2021-05-18,664,12
Alto Garças,2021-05-18,721,25
Alto Paraguai,2021-05-18,773,26
Alto Taquari,2021-05-18,1347,26
Apiacás,2021-05-18,1474,14
Araguaiana,2021-05-18,176,4
Araguainha,2021-05-18,22,0
Araputanga,2021-05-18,1699,46
Arenápolis,2021-05-18,1330,22
Aripuanã,2021-05-18,2249,40
Barão de Melgaço,2021-05-18,327,13
Barra do Bugres,2021-05-18,2393,56
Barra do Garças,2021-05-18,6571,230
Bom Jesus do Araguaia,2021-05-18,890,14
Brasnorte,2021-05-18,1782,30
Cáceres,2021-05-18,8153,305
Campinápolis,2021-05-18,965,25
Campo Novo do Parecis,2021-05-18,5506,66
Campos de Júlio,2021-05-18,937,9
Campo Verde,2021-05-18,4990,102
Canabrava do Norte,2021-05-18,303,3
Canarana,2021-05-18,2475,42
Carlinda,2021-05-18,1488,28
Castanheira,2021-05-18,472,20
Chapada dos Guimarães,2021-05-18,1494,73
Cláudia,2021-05-18,1322,28
Cocalinho,2021-05-18,451,9
Colíder,2021-05-18,4648,102
Colniza,2021-05-18,1532,59
Comodoro,2021-05-18,1432,22
Confresa,2021-05-18,2725,69
Conquista D'Oeste,2021-05-18,400,10
Cotriguaçu,2021-05-18,896,32
Cuiabá,2021-05-18,81946,2790
Curvelândia,2021-05-18,245,7
Denise,2021-05-18,459,13
Diamantino,2021-05-18,2306,53
Dom Aquino,2021-05-18,497,17
Feliz Natal,2021-05-18,1538,28
Figueirópolis D'Oeste,2021-05-18,289,6
Gaúcha do Norte,2021-05-18,676,18
General Carneiro,2021-05-18,569,16
Glória D'Oeste,2021-05-18,276,12
Guarantã do Norte,2021-05-18,3380,89
Guiratinga,2021-05-18,245,22
Importados/Indefinidos,2021-05-18,2268,172
Indiavaí,2021-05-18,196,9
Ipiranga do Norte,2021-05-18,994,12
Itanhangá,2021-05-18,250,4
